Region	Plot_ID	ID	Case	Seedling	GPS_N	GPS_E	Elev	Bias	shape	Sub	Sub_type	Dist_surf	Wide	Decay	Depth1	Depth2	M_cv	M_th1	M_th2	M_th	L_cv	L_th1	L_th2	L_th	Herb_cv	Herb_ht	Herb_htmax	Sd_cv	Sd_ht	Sd_htmax	Sp_cv	Sp_ht	Sp_htmax	Mother	Canopy_cv
TMM	TMM07A4	29	0					5	40x62.5	log	CWD_nonD	50	40	3	1	2	10	0.5	0.5	0.5	10	1	1	1	0	NA	NA	t	1	0.5	0	NA	NA	3	60
TMM	TMM08	30	1		24.70376	121.44129		4	50x50	soil	Soil	0			20	20	10	1.5	2	1.75	40	1.5	1	1.25	2a	8	20	1	5	15	0	NA	NA	2	50
TMM	TMM08A1	30	0					5	50x50	log	CWD_nonD	50	100	2	0	0	55	2	2	2	10	1	1	1	r	5	10	r	5	7	0	NA	NA	1	70
TMM	TMM08A2	30	0					6	50x50	soil	Soil	0			20	22	15	2	2	2	75	6	4	5	1	10	20	0	NA	NA	0	NA	NA	2	85
TMM	TMM08A3	30	0					5	50x50	soil	Soil	0			16	20	0	NA	NA	0	70	4	2.5	3.25	0	NA	NA	0	NA	NA	0	NA	NA	2	95
TMM	TMM08A4	30	0					4	50x50	soil	Soil	0			23	40	1	2	2	2	85	3.5	4.5	4	0	NA	NA	0	NA	NA	0	NA	NA	2	85
DGJ	DGJ01	31	1		24.553677	121.37922		4	40x62.5	log	CWD_halfD	140	45	5	9	6	90	1	1.5	1.25	5	0.5	0.5	0.5	0	NA	NA	+	3	6	0	NA	NA	1	85
DGJ	DGJ01A1	31	0					5	50x50	soil	Soil	0			23	26	1	2	1	1.5	80	3.5	3	3.25	0	NA	NA	2m	25	40	0	NA	NA	1	90
DGJ	DGJ01A2	31	0					5	50x50	soil	Soil	0			40	22	5	3.5	1.5	2.5	70	1.5	2	1.75	2b	25	40	0	NA	NA	0	NA	NA	1	85
DGJ	DGJ01A3	31	0					5	50x50	soil	Soil	0			40	40	3	2.5	3	2.75	85	4	4.5	4.25	+	50	120	2b	20	40	0	NA	NA	1	90
DGJ	DGJ01A4	31	0					5	50x50	soil	Soil	0			40	40	45	2	3	2.5	20	2.5	1.5	2	0	NA	NA	r	2	2	0	NA	NA	1	95
DGJ	DGJ02	32	1		24.53695	121.37912		4	50x50	log	CWD_halfD	85	65	4	5	3.5	90	3	3.5	3.25	5	2	2	2	r	6	12	2m	8	20	2a	60	100	2	65
DGJ	DGJ02A1	32	0					5	40x62.5	soil	Soil	0			14	7	20	1	0.5	0.75	30	3	3	3	r	6	7	0	NA	NA	2b	170	200	2	95
DGJ	DGJ02A2	32	0					5	50x50	soil	Soil	0			21	40	5	3	2	2.5	70	4	3.5	3.75	0	NA	NA	2b	20	40	0	NA	NA	1	95
DGJ	DGJ02A3	32	0					4	50x50	living_root	Mat	0			15	11	3	3	2	2.5	70	4	5	4.5	r	6	7	3	30	50	0	NA	NA	1	85
DGJ	DGJ02A4	32	0					4	50x50	soil	Soil	0			28	27	15	2.5	1.5	2	60	3	2	2.5	1	5	7	0	NA	NA	0	NA	NA	2	95
DGJ	DGJ03	33	1		24.53719	121.37933		5	25x100	log	CWD_halfD	55	30	4	6	5	90	3	1	2	5	2	1	1.5	0	NA	NA	2m	5	15	2m	50	70	2	80
DGJ	DGJ03A1	33	0					3	50x50	soil	Soil	0			40	28	2	0.5	0.5	0.5	85	6	3.5	4.75	0	NA	NA	2m	20	40	1	100	100	2	90
DGJ	DGJ03A2	33	0					4	40x62.5	soil	Soil	0			40	40	15	2	1	1.5	65	5	4	4.5	+	3	10	2m	7	10	0	NA	NA	1	65
DGJ	DGJ03A3	33	0					5	20x125	branch	CWD_nonD	20	20	1	0	0.5	60	0.5	0.5	0.5	5	1	1	1	0	NA	NA	0	NA	NA	0	NA	NA	1	95
DGJ	DGJ03A4	33	0					4	50x50	living_root	Mat	30			14	17	15	2	2	2	70	4	4	4	r	3	3	2b	15	30	0	NA	NA	1	85
DGJ	DGJ04	34	1		24.53726	121.37948		4	50x50	log	CWD_halfD	75	60	4	5	5	25	0.5	0.5	0.5	10	1	1	1	+	3	6	+	3	13	0	NA	NA	1	75
DGJ	DGJ04A1	34	0					4	50x50	soil	Soil	0			40	20	3	0.5	1	0.75	85	4	5	4.5	r	3	4	+	15	20	1	70	80	1	80
DGJ	DGJ04A2	34	0					4	40x62.5	soil	Soil	0			40	40	55	1	1	1	30	2	2.5	2.25	1	5	8	r	3	5	0	NA	NA	1	60
DGJ	DGJ04A3	34	0					4	40x62.5	soil	Soil	0			40	40	5	1	1	1	85	3	3	3	r	2	2	2a	8	20	2m	60	80	2	70
DGJ	DGJ04A4	34	0					4	50x50	soil	Soil	0			40	40	0	NA	NA	0	90	3.5	5	4.25	0	NA	NA	2m	5	15	0	NA	NA	1	95
DGJ	DGJ05	35	1		24.5375	121.37953		4	20x125	log	CWD_D	30	20	6	40	40	95	1.5	2	1.75	3	1.5	1.5	1.5	r	5	7	2m	30	40	0	NA	NA	2	70
DGJ	DGJ05A1	35	0					5	50x50	soil	Soil	0			15	40	2	1	2	1.5	80	4	5	4.5	2b	20	30	0	NA	NA	2m	130	160	1	95
DGJ	DGJ05A2	35	0					6	50x50	soil	Soil	0			40	40	5	2	2.5	2.25	90	6	5.5	5.75	0	NA	NA	2m	20	25	0	NA	NA	2	95
DGJ	DGJ05A3	35	0					5	50x50	soil	Soil	0			40	40	3	1	3	2	60	3	2.5	2.75	0	NA	NA	r	3	5	0	NA	NA	2	95
DGJ	DGJ05A4	35	0					5	50x50	soil	Soil	0			40	23	0	NA	NA	0	60	5	6	5.5	r	5	6	2b	5	30	0	NA	NA	2	60
DGJ	DGJ06	36	1		24.53718	121.37976		4	50x50	log	CWD_halfD	20	50	3	3.5	4	60	1	0.5	0.75	35	1	0.5	0.75	r	5	7	2a	5	25	0	NA	NA	1	65
DGJ	DGJ06A1	36	0					3	50x50	living_root	Mat	0			28	30	0	NA	NA	0	40	3.5	6	4.75	2b	80	130	2b	5	20	2b	100	120	1	85
DGJ	DGJ06A2	36	0					3	50x50	soil	Soil	0			25	30	1	1	1	1	90	6	7	6.5	2m	4	130	r	3	5	3	160	200	2	65
DGJ	DGJ06A3	36	0					4	50x50	soil	Soil	0			40	40	1	1	1	1	85	4	5	4.5	0	NA	NA	2a	10	30	2m	70	100	1	80
DGJ	DGJ06A4	36	0					5	50x50	soil	Soil	0			17	17	2	1	0.5	0.75	60	3	2.5	2.75	r	3	5	1	30	40	0	NA	NA	1	90
DGJ	DGJ07	37	1		24.53764	121.38002		5	50x50	log	CWD_halfD	90	100	4	4.5	5	85	2.5	2	2.25	8	2.5	2	2.25	2a	5	20	2a	10	30	2b	80	100	2	75
DGJ	DGJ07A1	37	0					4	50x50	soil	Soil	0			18	10	80	3	3	3	15	4	3	3.5	1	10	15	r	7	10	0	NA	NA	2	80
DGJ	DGJ07A2	37	0					4	50x50	soil	Soil	0			13	27	15	2	2	2	70	5	5	5	r	7	8	r	5	8	2a	170	200	2	80
DGJ	DGJ07A3	37	0					4	40x62.5	log	CWD_halfD	55	40	4	6	5	85	2	3.5	2.75	10	3	2.5	2.75	r	7	10	0	NA	NA	2a	130	160	2	65
DGJ	DGJ07A4	37	0					5	40x62.5	soil	Soil	0			18	22	40	2	1	1.5	45	3	3	3	r	5	7	2a	15	25	0	NA	NA	2	80
DGJ	DGJ08	38	1		24.53805	121.38065		4	40x62.5	log	CWD_halfD	35	45	4	6.5	6	90	2	1	1.5	2	2	2	2	r	3	5	2a	7	12	0	NA	NA	2	80
DGJ	DGJ08A1	38	0					4	50x50	soil	Soil	0			11	18	5	1	1	1	75	3	3	3	e	3	5	e	3	5	2m	170	170	1	85
DGJ	DGJ08A2	38	0					5	25x100	log	CWD_nonD	35	35	2	0.5	0.5	80	0.5	2	1.25	10	3	2	2.5	+	5	10	0	NA	NA	0	NA	NA	2	95
DGJ	DGJ08A3	38	0					5	50x50	soil	Soil	0			21	22	15	1	1	1	40	2	2	2	+	7	10	1	30	40	2b	140	170	2	95
DGJ	DGJ08A4	38	0					4	50x50	soil	Soil	0			40	17	40	2.5	3.5	3	30	4	4	4	1	7	12	0	NA	NA	1	70	90	1	70
TSS	TSS07	39	1		24.52366	121.36575		4	50x50	soil	Soil	0			20	15	75	0.5	1	0.75	15	1	1	1	1	7	12	+	5	8	1	50	70	1	80
TSS	TSS07A1	39	0					3	50x50	soil	Soil	0			40	15	10	3	2.5	2.75	30	1	3	2	2m	7	10	2a	40	50	2a	130	160	1	95
TSS	TSS07A2	39	0					3	50x50	soil	Soil	0			40	40	4	3	2	2.5	65	5	7	6	2b	10	15	3	30	50	2m	50	70	1	85
TSS	TSS07A3	39	0					5	50x50	log	CWD_halfD	45	70	3	0	6	65	1	4	2.5	5	1	2	1.5	0	NA	NA	0	NA	NA	0	NA	NA	1	95
TSS	TSS07A4	39	0					5	50x50	soil	Soil	0			16	40	10	2.5	4	3.25	55	3	3.5	3.25	+	3	6	2b	15	30	2m	170	180	1	90
TSS	TSS08	40	1		24.52377	121.36527		4	20x125	branch	CWD_nonD	65	20	2	4	4	95	3	2.5	2.75	1	1	1	1	r	6	7	+	5	8	0	NA	NA	2	85
TSS	TSS08A1	40	0					5	50x50	soil	Soil	0			28	40	20	2	1	1.5	15	2	3	2.5	0	NA	NA	2b	30	50	2b	70	180	2	90
TSS	TSS08A2	40	0					5	50x50	soil	Soil	0			6	13	2	2	2.5	2.25	40	2	3	2.5	2m	7	10	2a	40	50	0	NA	NA	1	85
TSS	TSS08A3	40	0					6	50x50	soil	Soil	0			10	12	30	2	3	2.5	25	2	2	2	r	5	6	0	NA	NA	0	NA	NA	2	95
TSS	TSS08A4	40	0					6	50x50	living_root	Mat	0			12	20	55	3	4	3.5	15	6	5	5.5	2a	20	30	2b	15	30	2b	100	150	1	85
WDY	WDY07	41	1		24.58519	121.40554		4	50x50	stump	CWD_halfD	60	50	3	8	6	95	3.5	3	3.25	4	3	3	3	2m	3	6	2m	15	30	2a	60	70	1	65
WDY	WDY07A1	41	0					4	50x50	soil	Soil	0			25	25	85	6	5	5.5	10	2	2.5	2.25	2m	8	10	1	20	30	2m	80	110	1	60
WDY	WDY07A2	41	0					4	50x50	soil	Soil	0			40	20	65	5	4	4.5	30	3	3	3	2m	10	30	2m	10	25	2m	100	160	1	75
WDY	WDY07A3	41	0					4	50x50	living_root	Mat	0			20	13	60	5	3.5	4.25	35	5	7	6	r	6	8	3	30	50	2m	60	70	1	90
WDY	WDY07A4	41	0					3	50x50	stump	CWD_halfD	75	60	3	15	16	70	5	4	4.5	20	3	3	3	3	5	30	3	10	50	2m	50	80	2	95
WDY	WDY08	42	1		24.58557	121.40558		5	40x62.5	stump	CWD_halfD	110	50	3	6	8	70	3	3.5	3.25	25	2.5	2.5	2.5	2m	3	5	+	5	7	0	NA	NA	1	90
WDY	WDY08A1	42	0					4	40x62.5	log	CWD_halfD	75	75	4	7	6	95	7	7	7	1	4	3	3.5	r	3	5	r	7	8	3	50	70	1	85
WDY	WDY08A2	42	0					5	50x50	soil	Soil	0			40	22	5	6	3.5	4.75	75	4	4.5	4.25	2a	7	15	2a	15	30	2m	130	160	1	80
WDY	WDY08A3	42	0					5	50x50	soil	Soil	0			40	40	95	12	10	11	5	8	8	8	2a	10	15	2a	30	50	0	NA	NA	2	75
WDY	WDY08A4	42	0					5	50x50	soil	Soil	0			40	40	65	10	14	12	30	4	4	4	+	5	8	r	3	4	0	NA	NA	1	70
LLS	LLS01	43	1		24.7277	121.45822		4	50x50	log	CWD_D	50	65	6	15	17	90	2	2.5	2.25	3	2.5	1	1.75	1	5	8	+	5	8	0	NA	NA	1	90
LLS	LLS01A1	43	0					5	50x50	soil	Soil	0			40	40	5	2	1	1.5	85	3	2	2.5	r	2	5	0	NA	NA	0	NA	NA	2	85
LLS	LLS01A2	43	0					4	40x62.5	soil	Soil	0			15	30	25	4	3	3.5	70	4	3.5	3.75	2b	20	40	0	NA	NA	0	NA	NA	1	80
LLS	LLS01A3	43	0					4	50x50	soil	Soil	0			40	40	8	1	2	1.5	85	4	5	4.5	3	20	40	r	3	5	0	NA	NA	1	90
LLS	LLS01A4	43	0					5	50x50	soil	Soil	0			28	17	3	2	2	2	75	3	3	3	2m	15	25	0	NA	NA	2m	100	130	2	95
LLS	LLS02	44	1		24.72781	121.43798		5	40x62.5	living_root	Mat	30			15	13	40	2.5	2	2.25	25	1	2	1.5	2b	20	30	2b	30	50	0	NA	NA	1	65
LLS	LLS02A1	44	0					3	50x50	soil	Soil	0			40	40	25	1	1	1	40	2	2	2	3	15	25	0	NA	NA	0	NA	NA	1	80
LLS	LLS02A2	44	0					4	50x50	soil	Soil	0			40	40	5	1	2	1.5	80	3	3.5	3.25	3	15	25	2a	15	30	0	NA	NA	2	50
LLS	LLS02A3	44	0					4	50x50	soil	Soil	0			16	12	20	1	0.5	0.75	50	2	2	2	2b	15	25	0	NA	NA	0	NA	NA	1	70
LLS	LLS02A4	44	0					4	50x50	soil	Soil	0			40	40	5	1	1	1	85	2	2	2	2b	18	20	0	NA	NA	2b	130	180	1	85
LLS	LLS03	45	1		24.72791	121.4375		3	40x62.5	log	CWD_nonD	100	40	3	0.5	0.5	95	5	4	4.5	3	2	2	2	+	3	5	+	5	8	0	NA	NA	1	80
LLS	LLS03A1	45	0					4	20x125	branch	CWD_nonD	55	20	3	0.5	0.5	10	3	2.5	2.75	15	3	4	3.5	4	7	10	r	3	5	2m	50	50	2	85
LLS	LLS03A2	45	0					3	50x50	soil	Soil	0			40	28	3	0.5	0.5	0.5	85	3	3.5	3.25	3	25	40	1	30	50	0	NA	NA	2	80
LLS	LLS03A3	45	0					4	50x50	soil	Soil	0			21	17	5	0.5	0.5	0.5	70	2.5	2	2.25	2a	25	30	0	NA	NA	0	NA	NA	1	80
LLS	LLS03A4	45	0					4	50x50	soil	Soil	0			40	40	45	0.5	1	0.75	25	2	2	2	2b	15	20	r	3	5	0	NA	NA	1	80
LLS	LLS04	46	1		24.72771	121.43738		4	40x62.5	log	CWD_halfD	30	40	4	8	9	65	2	2.5	2.25	25	2.5	2	2.25	2b	20	35	+	3	5	2a	150	200	2	90
LLS	LLS04A1	46	0					4	40x62.5	log	CWD_D	20	40	6	8	10	65	2	1	1.5	25	2	2	2	2a	10	20	1	5	15	1	50	60	1	80
LLS	LLS04A2	46	0					4	40x62.5	soil	Soil	0			24	40	0	NA	NA	0	45	3	3	3	2m	10	20	r	5	7	0	NA	NA	2	90
LLS	LLS04A3	46	0					5	50x50	soil	Soil	0			22	26	2	2	2	2	70	2	3	2.5	2m	10	20	1	5	10	2m	130	140	2	95
LLS	LLS04A4	46	0					3	50x50	soil	Soil	0			40	40	15	2	2	2	80	2	2	2	2b	10	20	r	10	15	0	NA	NA	2	75
LLS	LLS05	47	1		24.72748	121.43768		3	40x62.5	log	CWD_D	70	40	6	18	18	85	2	2	2	5	2	1	1.5	r	1	2	+	3	5	0	NA	NA	2	80
LLS	LLS05A1	47	0					3	40x62.5	soil	Soil	0			30	40	2	2	2	2	60	2	2	2	1	5	10	r	2	4	0	NA	NA	2	90
LLS	LLS05A2	47	0					5	50x50	soil	Soil	0			28	27	30	2	2	2	40	2	3	2.5	2a	5	15	0	NA	NA	0	NA	NA	2	95
LLS	LLS05A3	47	0					5	50x50	soil	Soil	0			40	40	20	1	2	1.5	45	3	3.5	3.25	3	20	35	0	NA	NA	0	NA	NA	2	85
LLS	LLS05A4	47	0					5	50x50	soil	Soil	0			40	40	2	2.5	2.5	2.5	90	3	3.5	3.25	0	NA	NA	0	NA	NA	0	NA	NA	2	90
LLS	LLS06	48	1		24.72746	121.43737		3	50x50	soil	Soil	0			40	40	65	1	0.5	0.75	20	2	2	2	+	3	5	1	5	10	2m	50	60	1	70
LLS	LLS06A1	48	0					4	40x62.5	soil	Soil	0			40	40	2	0.5	1	0.75	50	3	2	2.5	+	5	10	r	5	7	1	70	100	2	85
LLS	LLS06A2	48	0					5	50x50	soil	Soil	0			40	27	1	0.5	0.5	0.5	30	2	3	2.5	1	5	15	0	NA	NA	1	70	100	1	80
LLS	LLS06A3	48	0					4	50x50	living_root	Mat	50	100				90	6.5	4	5.25	5	4	3	3.5	1	5	10	1	20	30	0	NA	NA	1	60
LLS	LLS06A4	48	0					5	50x50	soil	Soil	0			40	40	8	0.5	0.5	0.5	75	4	4	4	2a	10	30	1	30	40	0	NA	NA	2	85
LLS	LLS07	49	1		24.72724	121.43724		4	40x62.5	log	CWD_D	15	30	6	40	40	90	2.5	2.5	2.5	5	1	1	1	+	5	7	+	3	5	0	NA	NA	2	90
LLS	LLS07A1	49	0					4	50x50	soil	Soil	0			40	40	0	NA	NA	0	85	3	3	3	1	5	7	1	5	10	2m	80	100	1	90
LLS	LLS07A2	49	0					4	50x50	soil	Soil	0			40	40	3	1	0.5	0.75	65	2	2	2	r	2	4	r	3	5	2b	70	110	2	95
LLS	LLS07A3	49	0					4	50x50	soil	Soil	0			28	30	5	0.5	1	0.75	85	3.5	4	3.75	0	NA	NA	0	NA	NA	0	NA	NA	2	90
LLS	LLS07A4	49	0					3	50x50	soil	Soil	0			40	40	0	NA	NA	0	95	5	4.5	4.75	1	5	8	0	NA	NA	4	170	200	2	85
LLS	LLS08	50	1		24.72729	121.43763		3	50x50	log	CWD_D	70	85	5	13	10	90	1.5	2	1.75	5	1	2	1.5	2m	20	35	1	5	20	0	NA	NA	1	80
LLS	LLS08A1	50	0					3	50x50	soil	Soil	0			40	40	0	NA	NA	0	60	2.5	3	2.75	+	5	8	1	5	20	0	NA	NA	1	95
LLS	LLS08A2	50	0					4	50x50	soil	Soil	0			10	28	20	2	2	2	60	3	3	3	2m	10	20	r	3	5	0	NA	NA	1	75
LLS	LLS08A3	50	0					4	40x62.5	soil	Soil	0			20	25	0	NA	NA	0	95	6	4	5	r	3	5	+	5	10	0	NA	NA	2	70
LLS	LLS08A4	50	0					3	50x50	soil	Soil	0			40	40	3	1	0.5	0.75	85	4	5	4.5	r	3	6	1	15	20	0	NA	NA	2	90
LPP	LPP01	51	1		24.72353	121.44098		4	25x100	log	CWD_D	40	30	6	8	8	90	2	2	2	5	2	2.5	2.25	2m	10	15	2m	20	30	2a	80	130	1	80
LPP	LPP01A1	51	0					3	50x50	soil	Soil	0			25	40	0	NA	NA	0	90	4	4	4	2a	20	25	0	NA	NA	0	NA	NA	2	85
LPP	LPP01A2	51	0					3	50x50	soil	Soil	0			14	28	2	2	2	2	95	4	6	5	1	10	15	0	NA	NA	2b	130	150	1	85
LPP	LPP01A3	51	0					3	50x50	soil	Soil	0			40	40	30	0.5	0.5	0.5	40	2.5	4	3.25	2m	20	25	0	NA	NA	0	NA	NA	2	80
LPP	LPP01A4	51	0					3	50x50	living_root	Mat	35			16	15	50	2	2.5	2.25	35	2	2	2	2a	15	25	r	2	2	2b	80	100	1	90
LPP	LPP02	52	1		24.72413	121.44161		4	25x100	log	CWD_D	50	40	6	10	12	80	1	2	1.5	15	0.5	1	0.75	2b	20	30	+	5	6	1	70	90	1	85
LPP	LPP02A1	52	0					5	50x50	soil	Soil	0			22	25	7	2	2	2	65	3	2	2.5	2a	20	30	0	NA	NA	0	NA	NA	1	95
LPP	LPP02A2	52	0					3	50x50	soil	Soil	0			28	26	3	2	2	2	55	4	3.5	3.75	3	25	35	0	NA	NA	+	50	60	1	85
LPP	LPP02A3	52	0					5	40x62.5	soil	Soil	0			28	40	3	2	2	2	90	3	3.5	3.25	2b	20	40	0	NA	NA	0	NA	NA	2	90
LPP	LPP02A4	52	0					3	40x62.5	soil	Soil	0			15	12	30	1	1	1	55	6	4	5	2a	20	25	+	20	30	2b	100	150	1	85
LPP	LPP03	53	1		24.72426	121.44069		4	25x100	log	CWD_halfD	110	45	4	4	4	90	3	4	3.5	5	2	2.5	2.25	2b	7	15	2m	5	10	0	NA	NA	2	90
LPP	LPP03A1	53	0					5	40x62.5	log	CWD_halfD	105	40	4	6	9	70	2	2	2	15	3	2	2.5	3	7	14	0	NA	NA	0	NA	NA	2	95
LPP	LPP03A2	53	0					5	50x50	soil	Soil	0			40	40	7	1	2	1.5	80	3	2	2.5	2b	15	25	1	15	25	0	NA	NA	1	95
LPP	LPP03A3	53	0					4	50x50	soil	Soil	0			40	24	0	NA	NA	0	95	3.5	4	3.75	2m	8	15	0	NA	NA	0	NA	NA	2	95
LPP	LPP03A4	53	0					4	50x50	stump	CWD_nonD	45	50	2	3.5	3.5	70	1	2	1.5	15	3	2	2.5	2a	14	20	1	20	25	0	NA	NA	2	95
LPP	LPP04	54	1		24.7245	121.44067		4	50x50	living_root	Mat	220	75		12	14	60	1	2	1.5	15	2	1	1.5	2a	7	10	1	5	8	0	NA	NA	1	75
LPP	LPP04A1	54	0					4	40x62.5	living_root	Mat	0			12	15	6	2	2.5	2.25	30	2.5	2	2.25	2b	7	30	r	3	5	0	NA	NA	1	70
LPP	LPP04A2	54	0					3	40x62.5	soil	Soil	0			40	40	10	1	0.5	0.75	70	2	3.5	2.75	2b	15	25	0	NA	NA	0	NA	NA	2	75
LPP	LPP04A3	54	0					4	50x50	soil	Soil	0			15	25	40	2	1	1.5	45	2	2	2	2a	20	30	0	NA	NA	0	NA	NA	1	85
LPP	LPP04A4	54	0					4	50x50	soil	Soil	0			40	40	20	2	1	1.5	35	1	1	1	2b	20	25	r	5	15	0	NA	NA	2	75
LPP	LPP05	55	1		24.72423	121.44031		4	50x50	soil	Soil	0			40	40	65	1	1	1	15	1	1	1	2b	15	25	+	5	9	0	NA	NA	1	65
LPP	LPP05A1	55	0					5	50x50	soil	Soil	0			40	20	85	2	1.5	1.75	10	2	2	2	2b	20	40	0	NA	NA	0	NA	NA	1	60
LPP	LPP05A2	55	0					5	40x62.5	soil	Soil	0			11	10	30	1	2	1.5	50	4	3	3.5	2a	20	30	r	3	5	0	NA	NA	1	75
LPP	LPP05A3	55	0					5	50x50	soil	Soil	0			40	40	20	3	2	2.5	70	4	5	4.5	2a	15	25	+	5	15	3	110	130	2	80
LPP	LPP05A4	55	0					5	50x50	soil	Soil	0			3	3	25	5	3	4	5	2	3	2.5	2m	20	30	0	NA	NA	3	70	130	2	65
LPP	LPP06	56	1		24.72324	121.44137		4	50x50	log	CWD_halfD	35	60	4	7	8	85	2.5	3	2.75	10	3	1	2	2m	20	30	2b	10	30	0	NA	NA	2	85
LPP	LPP06A1	56	0					4	50x50	soil	Soil	0			20	23	0	NA	NA	0	95	4	4	4	4	20	20	0	NA	NA	0	NA	NA	2	90
LPP	LPP06A2	56	0					3	40x62.5	living_root	Living	50	40		0	0	75	1	3	2	20	4	4	4	+	5	10	0	NA	NA	2a	130	150	1	95
LPP	LPP06A3	56	0					4	50x50	soil	Soil	0			28	40	1	0.5	0.5	0.5	75	3	2.5	2.75	+	5	10	2a	5	30	0	NA	NA	1	90
LPP	LPP06A4	56	0					5	40x62.5	soil	Soil	0			30	25	3	1	0.5	0.75	95	2.5	2.5	2.5	2b	15	25	r	3	5	0	NA	NA	2	80
LPP	LPP07	57	1		24.72394	121.44135		4	50x50	branch	CWD_D	140	70	6	40	40	70	3.5	4	3.75	10	3	1	2	1	3	5	r	3	6	0	NA	NA	1	80
LPP	LPP07A1	57	0					4	50x50	soil	Soil	0			40	23	10	1.5	3	2.25	20	1	1	1	2m	15	30	r	1	2	1	50	70	1	85
LPP	LPP07A2	57	0					4	50x50	soil	Soil	0			40	40	3	0.5	0.5	0.5	40	2	2	2	2b	20	40	r	3	6	1	100	130	1	90
LPP	LPP07A3	57	0					4	50x50	living_root	Mat	15			7	6	35	3	3.5	3.25	25	2	2	2	3	25	40	0	NA	NA	0	NA	NA	1	85
LPP	LPP07A4	57	0					4	50x50	soil	Soil	0			29	18	10	2	1	1.5	30	2	2	2	2b	25	40	0	NA	NA	0	NA	NA	1	90
LPP	LPP08	58	1		24.72401	121.44058		4	50x50	log	CWD_D	135	60	4	11	12	70	2	2.5	2.25	25	2	2.5	2.25	2a	5	10	1	5	10	0	NA	NA	1	85
LPP	LPP08A1	58	0					4	50x50	soil	Soil	0			40	40	3	0.5	0.5	0.5	90	2.5	3	2.75	2b	15	25	0	NA	NA	0	NA	NA	1	90
LPP	LPP08A2	58	0					4	50x50	soil	Soil	0			26	40	5	5	3.5	4.25	90	4	4.5	4.25	2b	15	30	0	NA	NA	0	NA	NA	1	85
LPP	LPP08A3	58	0					5	50x50	soil	Soil	0			40	40	5	2	2	2	75	2	3	2.5	2b	15	30	0	NA	NA	0	NA	NA	1	80
LPP	LPP08A4	58	0					3	50x50	soil	Soil	0			17	11	45	2.5	3	2.75	35	4	3.5	3.75	2b	20	40	2a	15	30	2a	130	150	1	80
DLM	DLM01	59	1		24.63711	121.37701		4	50x50	log	CWD_nonD	180	70	3	1.5	1	90	2.5	1.5	2	5	1	1	1	r	3	6	1	3	8	0	NA	NA	1	80
DLM	DLM01A1	59	0					5	50x50	soil	Soil	0			15	40	3	3.5	4	3.75	90	4	4	4	4	30	50	1	5	15	+	140	160	1	90
DLM	DLM01A2	59	0					4	50x50	soil	Soil	0			40	40	2	1	1	1	90	4	4.5	4.25	3	30	50	+	50	50	0	NA	NA	1	90
DLM	DLM01A3	59	0					5	50x50	soil	Soil	0			40	40	50	5	5	5	45	4	4.5	4.25	1	3	8	r	2	3	3	50	200	2	80
DLM	DLM01A4	59	0					4	50x50	soil	Soil	0			40	40	2	1	1	1	95	5	7	6	4	30	50	0	NA	NA	0	NA	NA	2	80
DLM	DLM02	60	1		24.63698	121.37722		3	50x50	log	CWD_halfD	75	60	5	5	8	90	2	3	2.5	5	2.5	3	2.75	r	1	2	2b	8	20	+	60	70	1	80
DLM	DLM02A1	60	0					4	50x50	soil	Soil	0			9	10	0	NA	NA	0	80	5	3	4	4	30	50	r	5	8	0	NA	NA	2	75
DLM	DLM02A2	60	0					4	50x50	soil	Soil	0			40	40	1	1	1	1	90	5	5	5	5	40	60	+	5	7	0	NA	NA	2	65
DLM	DLM02A3	60	0					4	50x50	log	CWD_D	60	70	5	10	7	80	4	4.5	4.25	20	4	4	4	1	3	5	1	3	6	4	70	180	1	75
DLM	DLM02A4	60	0					3	50x50	stump	CWD_D	180	130	5	9	15	5	1.5	1.5	1.5	55	2	4	3	+	2	4	2b	30	50	3	70	110	1	80
DLM	DLM03	61	1		24.63676	121.3779		4	50x50	log	Mat	50	20	3	5	8	75	2.5	2.5	2.5	15	3.5	2.5	3	2m	5	15	2a	10	30	2a	100	140	1	70
DLM	DLM03A1	61	0					4	50x50	soil	Soil	0			40	13	0	NA	NA	0	95	6	5	5.5	3	40	70	0	NA	NA	0	NA	NA	2	80
DLM	DLM03A2	61	0					4	50x50	soil	Soil	0			40	40	3	3	2	2.5	95	7	6	6.5	2m	15	30	0	NA	NA	0	NA	NA	1	80
DLM	DLM03A3	61	0					4	50x50	dead root swallow	Mat	100			40	40	1	0.5	0.5	0.5	90	3	2.5	2.75	0	NA	NA	r	5	10	0	NA	NA	2	65
DLM	DLM03A4	61	0					4	50x50	soil	Soil	0			40	26	1	1	1	1	95	3	6	4.5	2b	15	60	0	NA	NA	0	NA	NA	2	65
DLM	DLM04	62	1		24.63642	121.37837		5	40x62.5	log	CWD_halfD	70	45	4	4	7	60	3	3	3	30	2	1	1.5	r	3	6	2m	4	8	0	NA	NA	2	80
DLM	DLM04A1	62	0					7	50x50	living_root	Mat	0			24	7	3	1	1	1	20	2	1	1.5	2m	10	15	0	NA	NA	0	NA	NA	2	90
DLM	DLM04A2	62	0					5	50x50	soil	Soil	0			40	40	0	NA	NA	0	85	4	5.5	4.75	2b	25	50	0	NA	NA	0	NA	NA	2	90
